samp_id,project_code,coord_y,coord_x,datetime,samp_wdepth_cm,samp_notes,tp_mgkg,m3_p_mgkg,m3_fe_mgkg,m3_al_mgkg,spsc_mgkg,wex_po4_mgkg,soil_primary_flag,soil_primary_flag_details
D00010,FORB,41.21755,-84.67281,6/8/2021,NA,Towards the north west end of TW2 but more towards the middle than the end,620.306,32.8,320.895,625.175,56.789,NA,0,NA
D00011,FORB,41.21793,-84.67312,6/8/2021,NA,"Taken near the inlet of TW3, within the pool at the south east end",744.719,40.7,369.036,752.035,66.1,NA,0,NA
D00012,FORB,41.21823,-84.67347,6/8/2021,NA,NA,629.785,53.7,485.284,892.544,75.641,NA,0,NA
D00032,OAKW,41.02419,-83.69627,7/30/2021,NA,"Theres an apparent soil horizon. Theres a shallow layer of dark colored sediment above a brown colored layer underneath. The top 1 cm is almost black, probably from organic matter that decayed.",977.489,21.818,578.264,706.289,91.285,NA,0,NA
D00033,OAKW,41.02351,-83.69633,7/30/2021,NA,Aurand run appeared to be flowing slowly and calmly. Was not backing up into pool 1.,1437.096,12.85,1278.737,235.517,84.978,NA,1,tp_mgkg_RNG_flag
D00034,OAKW,41.02419,-83.69627,7/30/2021,NA,Vegetation was grown into the pool so it is a very undefined edge. The samples were taken directly inside the end of the vegetation.,2292.561,8.202,171.577,174.136,21.29,NA,1,tp_mgkg_RNG_flag
D00035,OAKW,41.02402,-83.69473,7/30/2021,NA,Southwest side,926.44,8.139,118.724,266.798,29.065,NA,0,NA
D00036,OAKE,41.02377,-83.68804,7/30/2021,NA,"Width of pool was not possible, this pool is almost completely filled with foliage that is over 5 ft tall. Theres plenty of standing water around the pool, we are accessing the pool from the south end",1846.956,24.757,1804.888,1119.757,203.721,NA,1,tp_mgkg_ATT_flag
D00037,OAKW,41.02391,-83.68988,7/30/2021,NA,NA,938.301,17.1,460.131,918.847,113.869,NA,0,NA
D00038,OAKW,41.024,-83.69066,7/30/2021,NA,Southeast corner of pool,1708.263,13.378,788.806,780.595,119.912,NA,1,tp_mgkg_ATT_flag
D00039,OAKE,41.02491,-83.68749,7/30/2021,NA,"Much vegetation In this area, very muddy.",1262.89,10.044,173.518,764.691,87.36,NA,1,tp_mgkg_ATT_flag
D00040,OAKE,41.02661,-83.68167,7/30/2021,NA,Pool is filled with sedge meadow mix but access is possible and growth is not as high as other pools. Water inundation surrounding the pool was not as bad as other pools,873.54,18.589,994.348,899.008,139.675,NA,1,tn_mgkg_RNG_flag
D00041,OAKE,41.02703,-83.68189,7/30/2021,NA,"We are noticing some scum on the top of this water, it is greenish in color.",943.158,14.186,548.602,889.068,118.262,NA,1,tn_mgkg_RNG_flag
D00042,OAKE,41.02457,-83.68569,7/30/2021,NA,"The edges of this pool have some green scum, water extends past the vegetation about 1 feet.",514.05,10.442,463.662,735.384,99.658,NA,0,NA
D00043,FORB,41.21725,-84.67235,8/5/2021,NA,"Taken about 1 m into southwest corner of pool.  (what was formerly 1 will not be called A, 2 is B and so on)",175.619,11.125,275.578,444.999,55.223,NA,0,NA
